Sizes,mm,457,609,813,1016,1219,1422,1625,1829,1981,2235,2438,2743,3048
,inch,18.0,24.0,32.0,40.0,48.0,56.0,64.0,72.0,78.0,88.0,96.0,108.0,120.0
914,36.0,66,67,69,72,75,81,83,87,93,115,129,147,173
1219,48.0,69,70,72,75,78,85,86,90,96,123,138,157,184
1524,60.0,73,74,76,79,81,89,90,94,100,131,147,167,195
1828,72.0,78,79,81,84,87,93,95,99,105,139,155,177,206
2133,84.0,82,83,85,88,91,97,99,104,110,147,164,186,216
2438,96.0,86,87,89,92,95,101,104,110,117,162,180,205,238
2743,108.0,90,92,94,100,106,112,124,136,154,178,198,226,262
3048,120.0,95,96,102,114,128,142,158,176,198,210,218,248,288
